epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,266.641,1.83278,2.32974,1.30519,0.65095,0.48776,0.54297,0.28245,1.86015,1.87699,1.36336,0.000553703,0.000553703,0.000553703
2,501.35,1.79284,1.69094,1.28919,0.69735,0.45807,0.55271,0.27245,1.96969,2.1753,1.42032,0.00103615,0.00103615,0.00103615
3,730.758,1.75125,1.53851,1.26423,0.73261,0.56095,0.63816,0.34591,1.83775,1.57248,1.33222,0.00144525,0.00144525,0.00144525
4,958.623,1.74189,1.45615,1.25573,0.80649,0.53825,0.63496,0.34918,1.80584,1.47085,1.30657,0.00133693,0.00133693,0.00133693
5,1186.22,1.6904,1.34827,1.21284,0.75783,0.52631,0.6329,0.34809,1.80459,1.49823,1.29606,0.00122691,0.00122691,0.00122691
6,1411.03,1.56345,1.14907,1.21739,0.76947,0.6012,0.69219,0.40104,1.69201,1.26674,1.26159,0.00111689,0.00111689,0.00111689
7,1639.99,1.50263,1.04683,1.17096,0.8052,0.60612,0.72661,0.40924,1.68075,1.2664,1.27196,0.00100687,0.00100687,0.00100687
8,1866.95,1.46326,0.98407,1.15799,0.81112,0.62395,0.72922,0.4125,1.67991,1.15531,1.25163,0.000896846,0.000896846,0.000896846
9,2089.36,1.4268,0.93769,1.13944,0.835,0.6708,0.76964,0.43958,1.6311,1.05569,1.23758,0.000786824,0.000786824,0.000786824
10,2315.22,1.40793,0.89366,1.12237,0.82874,0.66456,0.77476,0.45256,1.57188,1.03153,1.20796,0.000676802,0.000676802,0.000676802
11,2540.13,1.34343,0.84039,1.09899,0.84323,0.66029,0.76929,0.45142,1.57172,1.00128,1.20552,0.00056678,0.00056678,0.00056678
12,2766.51,1.34083,0.81399,1.09733,0.85342,0.68892,0.79272,0.47264,1.56147,0.95058,1.19524,0.000456758,0.000456758,0.000456758
13,2999.65,1.31495,0.76814,1.07811,0.85625,0.6884,0.80131,0.47133,1.55489,0.93132,1.19056,0.000346736,0.000346736,0.000346736
14,3227.93,1.27909,0.74205,1.06632,0.86606,0.70445,0.81156,0.4865,1.51535,0.90079,1.17103,0.000236714,0.000236714,0.000236714
15,3454.89,1.25406,0.7176,1.05626,0.85437,0.71982,0.81345,0.48922,1.5022,0.87821,1.16387,0.000126692,0.000126692,0.000126692
